date,volume,open,close,high,low,symbol,ratio_adj,split_factor,volume_adj,open_adj,close_adj,high_adj,low_adj,dollar_volume
2005-01-03,4488900.0,42.98,43.02,43.17,42.74,GLD,1,1.0,4488900.0,42.98,43.02,43.17,42.74,193112478.0
2005-01-04,3456800.0,42.8,42.74,42.91,42.46,GLD,1,1.0,3456800.0,42.8,42.74,42.91,42.46,147743632.0
2005-01-05,2108700.0,42.75,42.67,42.88,42.6,GLD,1,1.0,2108700.0,42.75,42.67,42.88,42.6,89978229.0
2005-01-06,2548100.0,42.48,42.15,42.56,42.07,GLD,1,1.0,2548100.0,42.48,42.15,42.56,42.07,107402415.0
2005-01-07,4492700.0,42.09,41.84,42.39,41.7,GLD,1,1.0,4492700.0,42.09,41.84,42.39,41.7,187974568.00000003
2005-01-10,1026100.0,41.99,41.95,42.07,41.89,GLD,1,1.0,1026100.0,41.99,41.95,42.07,41.89,43044895.0
2005-01-11,1507300.0,42.21,42.21,42.28,42.12,GLD,1,1.0,1507300.0,42.21,42.21,42.28,42.12,63623133.0
2005-01-12,1738000.0,42.52,42.6,42.79,42.48,GLD,1,1.0,1738000.0,42.52,42.6,42.79,42.48,74038800.0
2005-01-13,718300.0,42.39,42.6,42.6,42.34,GLD,1,1.0,718300.0,42.39,42.6,42.6,42.34,30599580.0
2005-01-14,1262300.0,42.19,42.32,42.32,42.13,GLD,1,1.0,1262300.0,42.19,42.32,42.32,42.13,53420536.0
2005-01-18,666800.0,42.22,42.32,42.38,42.15,GLD,1,1.0,666800.0,42.22,42.32,42.38,42.15,28218976.0
2005-01-19,1578900.0,42.65,42.26,42.65,42.2,GLD,1,1.0,1578900.0,42.65,42.26,42.65,42.2,66724314.0
2005-01-20,1276200.0,42.12,42.25,42.32,42.11,GLD,1,1.0,1276200.0,42.12,42.25,42.32,42.11,53919450.0
2005-01-21,889800.0,42.32,42.74,42.82,42.29,GLD,1,1.0,889800.0,42.32,42.74,42.82,42.29,38030052.0
2005-01-24,2294900.0,42.74,42.77,42.82,42.67,GLD,1,1.0,2294900.0,42.74,42.77,42.82,42.67,98152873.0
2005-01-25,1232500.0,42.53,42.24,42.56,42.1,GLD,1,1.0,1232500.0,42.53,42.24,42.56,42.1,52060800.0
2005-01-26,541800.0,42.59,42.69,42.78,42.56,GLD,1,1.0,541800.0,42.59,42.69,42.78,42.56,23129442.0
2005-01-27,571200.0,42.48,42.62,42.65,42.4,GLD,1,1.0,571200.0,42.48,42.62,42.65,42.4,24344544.0
2005-01-28,1149100.0,42.71,42.69,42.73,42.43,GLD,1,1.0,1149100.0,42.71,42.69,42.73,42.43,49055079.0
2005-01-31,1692400.0,42.21,42.22,42.3,41.96,GLD,1,1.0,1692400.0,42.21,42.22,42.3,41.96,71453128.0
2005-02-01,1088900.0,42.09,42.1,42.14,41.95,GLD,1,1.0,1088900.0,42.09,42.1,42.14,41.95,45842690.0
2005-02-02,956500.0,42.22,42.16,42.23,42.02,GLD,1,1.0,956500.0,42.22,42.16,42.23,42.02,40326040.0
2005-02-03,2446200.0,41.56,41.68,41.74,41.5,GLD,1,1.0,2446200.0,41.56,41.68,41.74,41.5,101957616.0
2005-02-04,1799400.0,41.59,41.47,41.65,41.39,GLD,1,1.0,1799400.0,41.59,41.47,41.65,41.39,74621118.0
2005-02-07,1704000.0,41.55,41.27,41.55,41.21,GLD,1,1.0,1704000.0,41.55,41.27,41.55,41.21,70324080.0
2005-02-08,1296800.0,41.19,41.26,41.4,41.05,GLD,1,1.0,1296800.0,41.19,41.26,41.4,41.05,53505968.0
2005-02-09,3356900.0,41.03,41.31,41.36,41.02,GLD,1,1.0,3356900.0,41.03,41.31,41.36,41.02,138673539.0
2005-02-10,6774500.0,41.53,41.75,41.84,41.45,GLD,1,1.0,6774500.0,41.53,41.75,41.84,41.45,282835375.0
2005-02-11,1896500.0,41.89,42.08,42.16,41.83,GLD,1,1.0,1896500.0,41.89,42.08,42.16,41.83,79804720.0
2005-02-14,2351800.0,42.37,42.55,42.63,42.32,GLD,1,1.0,2351800.0,42.37,42.55,42.63,42.32,100069090.0
2005-02-15,1559900.0,42.4,42.58,42.6,42.34,GLD,1,1.0,1559900.0,42.4,42.58,42.6,42.34,66420542.0
2005-02-16,1820300.0,42.32,42.52,42.6,42.2,GLD,1,1.0,1820300.0,42.32,42.52,42.6,42.2,77399156.0
2005-02-17,3054200.0,42.52,42.73,42.81,42.51,GLD,1,1.0,3054200.0,42.52,42.73,42.81,42.51,130505965.99999999
2005-02-18,863200.0,42.71,42.75,42.82,42.64,GLD,1,1.0,863200.0,42.71,42.75,42.82,42.64,36901800.0
2005-02-22,3378500.0,43.39,43.57,43.63,43.2,GLD,1,1.0,3378500.0,43.39,43.57,43.63,43.2,147201245.0
2005-02-23,1534900.0,43.29,43.42,43.55,43.15,GLD,1,1.0,1534900.0,43.29,43.42,43.55,43.15,66645358.0
2005-02-24,1219300.0,43.48,43.33,43.48,43.2,GLD,1,1.0,1219300.0,43.48,43.33,43.48,43.2,52832269.0
2005-02-25,1100100.0,43.41,43.5,43.55,43.22,GLD,1,1.0,1100100.0,43.41,43.5,43.55,43.22,47854350.0
2005-02-28,759100.0,43.68,43.52,43.74,43.52,GLD,1,1.0,759100.0,43.68,43.52,43.74,43.52,33036032.000000004
2005-03-01,3245500.0,43.3,43.22,43.37,43.1,GLD,1,1.0,3245500.0,43.3,43.22,43.37,43.1,140270510.0
2005-03-02,1188000.0,43.16,43.25,43.35,43.08,GLD,1,1.0,1188000.0,43.16,43.25,43.35,43.08,51381000.0
2005-03-03,1924600.0,43.06,42.97,43.13,42.9,GLD,1,1.0,1924600.0,43.06,42.97,43.13,42.9,82700062.0
2005-03-04,915000.0,43.33,43.38,43.52,43.31,GLD,1,1.0,915000.0,43.33,43.38,43.52,43.31,39692700.0
2005-03-07,1290100.0,43.32,43.47,43.51,43.26,GLD,1,1.0,1290100.0,43.32,43.47,43.51,43.26,56080647.0
2005-03-08,2674900.0,43.71,44.03,44.08,43.59,GLD,1,1.0,2674900.0,43.71,44.03,44.08,43.59,117775847.0
2005-03-09,3025000.0,43.95,44.02,44.2,43.92,GLD,1,1.0,3025000.0,43.95,44.02,44.2,43.92,133160500.00000001
2005-03-10,2047500.0,44.16,44.2,44.25,44.0,GLD,1,1.0,2047500.0,44.16,44.2,44.25,44.0,90499500.0
2005-03-11,2659600.0,44.31,44.43,44.67,44.28,GLD,1,1.0,2659600.0,44.31,44.43,44.67,44.28,118166028.0
2005-03-14,867100.0,44.26,44.03,44.26,43.95,GLD,1,1.0,867100.0,44.26,44.03,44.26,43.95,38178413.0
2005-03-15,1254900.0,44.23,44.06,44.23,43.93,GLD,1,1.0,1254900.0,44.23,44.06,44.23,43.93,55290894.0
2005-03-16,2223000.0,44.29,44.31,44.35,44.2,GLD,1,1.0,2223000.0,44.29,44.31,44.35,44.2,98501130.0
2005-03-17,1525200.0,43.97,43.82,43.97,43.674,GLD,1,1.0,1525200.0,43.97,43.82,43.97,43.674,66834264.0
2005-03-18,1207500.0,43.61,43.892,43.95,43.6,GLD,1,1.0,1207500.0,43.61,43.892,43.95,43.6,52999590.0
2005-03-21,3314400.0,43.24,43.09,43.25,42.87,GLD,1,1.0,3314400.0,43.24,43.09,43.25,42.87,142817496.0
2005-03-22,2609400.0,43.21,42.65,43.22,42.55,GLD,1,1.0,2609400.0,43.21,42.65,43.22,42.55,111290910.0
2005-03-23,2368600.0,42.6,42.42,42.67,42.35,GLD,1,1.0,2368600.0,42.6,42.42,42.67,42.35,100476012.0
2005-03-24,1466400.0,42.51,42.39,42.54,42.37,GLD,1,1.0,1466400.0,42.51,42.39,42.54,42.37,62160696.0
2005-03-28,581100.0,42.45,42.54,42.58,42.41,GLD,1,1.0,581100.0,42.45,42.54,42.58,42.41,24719994.0
2005-03-29,1197800.0,42.61,42.56,42.63,42.54,GLD,1,1.0,1197800.0,42.61,42.56,42.63,42.54,50978368.0
2005-03-30,1324300.0,42.65,42.61,42.81,42.56,GLD,1,1.0,1324300.0,42.65,42.61,42.81,42.56,56428423.0
2005-03-31,1347200.0,42.87,42.82,42.87,42.7,GLD,1,1.0,1347200.0,42.87,42.82,42.87,42.7,57687104.0
2005-04-01,2448500.0,42.6,42.62,42.62,42.45,GLD,1,1.0,2448500.0,42.6,42.62,42.62,42.45,104355070.0
2005-04-04,1893100.0,42.43,42.4,42.43,42.23,GLD,1,1.0,1893100.0,42.43,42.4,42.43,42.23,80267440.0
2005-04-05,888000.0,42.49,42.45,42.54,42.38,GLD,1,1.0,888000.0,42.49,42.45,42.54,42.38,37695600.0
2005-04-06,1637500.0,42.49,42.63,42.72,42.49,GLD,1,1.0,1637500.0,42.49,42.63,42.72,42.49,69806625.0
2005-04-07,2852900.0,42.77,42.57,42.81,42.53,GLD,1,1.0,2852900.0,42.77,42.57,42.81,42.53,121447953.0
2005-04-08,1002300.0,42.48,42.69,42.71,42.459,GLD,1,1.0,1002300.0,42.48,42.69,42.71,42.459,42788187.0
2005-04-11,514100.0,42.84,42.78,42.96,42.74,GLD,1,1.0,514100.0,42.84,42.78,42.96,42.74,21993198.0
2005-04-12,2098700.0,42.7,42.84,42.84,42.61,GLD,1,1.0,2098700.0,42.7,42.84,42.84,42.61,89908308.0
2005-04-13,384000.0,42.76,42.9,42.95,42.68,GLD,1,1.0,384000.0,42.76,42.9,42.95,42.68,16473600.0
2005-04-14,3680300.0,42.45,42.31,42.48,42.16,GLD,1,1.0,3680300.0,42.45,42.31,42.48,42.16,155713493.0
2005-04-15,1811100.0,42.38,42.4,42.56,42.36,GLD,1,1.0,1811100.0,42.38,42.4,42.56,42.36,76790640.0
2005-04-18,909800.0,42.55,42.69,42.78,42.52,GLD,1,1.0,909800.0,42.55,42.69,42.78,42.52,38839362.0
2005-04-19,3145400.0,42.79,43.28,43.36,42.72,GLD,1,1.0,3145400.0,42.79,43.28,43.36,42.72,136132912.0
2005-04-20,1248200.0,43.21,43.4,43.52,43.19,GLD,1,1.0,1248200.0,43.21,43.4,43.52,43.19,54171880.0
2005-04-21,1550600.0,43.42,43.19,43.43,43.14,GLD,1,1.0,1550600.0,43.42,43.19,43.43,43.14,66970414.0
2005-04-22,1169000.0,43.46,43.39,43.5,43.306,GLD,1,1.0,1169000.0,43.46,43.39,43.5,43.306,50722910.0
2005-04-25,906300.0,43.35,43.44,43.45,43.22,GLD,1,1.0,906300.0,43.35,43.44,43.45,43.22,39369672.0
2005-04-26,1531400.0,43.69,43.64,43.7,43.5,GLD,1,1.0,1531400.0,43.69,43.64,43.7,43.5,66830296.0
2005-04-27,2762800.0,43.53,43.2,43.54,43.12,GLD,1,1.0,2762800.0,43.53,43.2,43.54,43.12,119352960.00000001
2005-04-28,2260300.0,43.16,43.0,43.27,42.99,GLD,1,1.0,2260300.0,43.16,43.0,43.27,42.99,97192900.0
2005-04-29,3736700.0,43.18,43.35,43.61,43.18,GLD,1,1.0,3736700.0,43.18,43.35,43.61,43.18,161985945.0
2005-05-02,1708500.0,43.13,42.88,43.17,42.81,GLD,1,1.0,1708500.0,43.13,42.88,43.17,42.81,73260480.0
2005-05-03,1267600.0,42.75,42.76,42.8,42.58,GLD,1,1.0,1267600.0,42.75,42.76,42.8,42.58,54202576.0
2005-05-04,607600.0,42.87,42.9,42.92,42.73,GLD,1,1.0,607600.0,42.87,42.9,42.92,42.73,26066040.0
2005-05-05,319300.0,42.96,42.91,42.96,42.71,GLD,1,1.0,319300.0,42.96,42.91,42.96,42.71,13701162.999999998
2005-05-06,3720900.0,42.43,42.52,42.63,42.34,GLD,1,1.0,3720900.0,42.43,42.52,42.63,42.34,158212668.0
2005-05-09,600000.0,42.54,42.55,42.61,42.48,GLD,1,1.0,600000.0,42.54,42.55,42.61,42.48,25530000.0
2005-05-10,461000.0,42.71,42.64,42.79,42.58,GLD,1,1.0,461000.0,42.71,42.64,42.79,42.58,19657040.0
2005-05-11,764600.0,42.55,42.69,42.83,42.51,GLD,1,1.0,764600.0,42.55,42.69,42.83,42.51,32640774.0
2005-05-12,1880200.0,42.42,42.16,42.48,41.97,GLD,1,1.0,1880200.0,42.42,42.16,42.48,41.97,79269232.0
2005-05-13,802600.0,42.12,41.95,42.12,41.83,GLD,1,1.0,802600.0,42.12,41.95,42.12,41.83,33669070.0
2005-05-16,874500.0,41.77,41.88,41.9,41.77,GLD,1,1.0,874500.0,41.77,41.88,41.9,41.77,36624060.0
2005-05-17,880800.0,41.95,41.86,42.05,41.83,GLD,1,1.0,880800.0,41.95,41.86,42.05,41.83,36870288.0
2005-05-18,2207100.0,41.99,42.05,42.11,41.83,GLD,1,1.0,2207100.0,41.99,42.05,42.11,41.83,92808555.0
2005-05-19,610200.0,42.0,41.98,42.05,41.87,GLD,1,1.0,610200.0,42.0,41.98,42.05,41.87,25616195.999999996
2005-05-20,796700.0,41.76,41.65,41.83,41.61,GLD,1,1.0,796700.0,41.76,41.65,41.83,41.61,33182555.0
2005-05-23,5001900.0,41.69,41.62,41.75,41.55,GLD,1,1.0,5001900.0,41.69,41.62,41.75,41.55,208179078.0
2005-05-24,1684600.0,41.83,41.73,41.83,41.65,GLD,1,1.0,1684600.0,41.83,41.73,41.83,41.65,70298358.0
2005-05-25,1535100.0,41.78,41.87,41.9,41.69,GLD,1,1.0,1535100.0,41.78,41.87,41.9,41.69,64274636.99999999
2005-05-26,341500.0,41.73,41.69,41.81,41.65,GLD,1,1.0,341500.0,41.73,41.69,41.81,41.65,14237135.0
2005-05-27,2453600.0,41.81,41.88,41.96,41.74,GLD,1,1.0,2453600.0,41.81,41.88,41.96,41.74,102756768.0
2005-05-31,3069900.0,41.45,41.65,41.69,41.33,GLD,1,1.0,3069900.0,41.45,41.65,41.69,41.33,127861335.0
2005-06-01,1792900.0,41.41,41.53,41.65,41.4,GLD,1,1.0,1792900.0,41.41,41.53,41.65,41.4,74459137.0
2005-06-02,5752600.0,41.94,42.1,42.28,41.91,GLD,1,1.0,5752600.0,41.94,42.1,42.28,41.91,242184460.0
2005-06-03,3350700.0,42.33,42.17,42.39,42.17,GLD,1,1.0,3350700.0,42.33,42.17,42.39,42.17,141299019.0
