date,volume,open,close,high,low,symbol,divPaymentDate,divRecordDate,divDeclaredDate,dividend,ratio_adj,split_factor,volume_adj,open_adj,close_adj,high_adj,low_adj,dollar_volume
2005-01-03,55962600.0,121.56,120.3,121.76,119.9,SPY,,,,,1,1.0,55962600.0,121.56,120.3,121.76,119.9,6732300780.0
2005-01-04,69218800.0,120.46,118.83,120.54,118.44,SPY,,,,,1,1.0,69218800.0,120.46,118.83,120.54,118.44,8225270004.0
2005-01-05,65693900.0,118.74,118.01,119.25,118.0,SPY,,,,,1,1.0,65693900.0,118.74,118.01,119.25,118.0,7752537139.0
2005-01-06,48232400.0,118.44,118.61,119.15,118.26,SPY,,,,,1,1.0,48232400.0,118.44,118.61,119.15,118.26,5720844964.0
2005-01-07,55521500.0,118.97,118.44,119.23,118.13,SPY,,,,,1,1.0,55521500.0,118.97,118.44,119.23,118.13,6575966460.0
2005-01-10,56570300.0,118.34,119.0,119.46,118.34,SPY,,,,,1,1.0,56570300.0,118.34,119.0,119.46,118.34,6731865700.0
2005-01-11,62916700.0,118.64,118.18,118.74,117.99,SPY,,,,,1,1.0,62916700.0,118.64,118.18,118.74,117.99,7435495606.0
2005-01-12,73847700.0,118.4,118.57,118.84,117.52,SPY,,,,,1,1.0,73847700.0,118.4,118.57,118.84,117.52,8756121789.0
2005-01-13,55746600.0,118.64,117.62,118.73,117.5,SPY,,,,,1,1.0,55746600.0,118.64,117.62,118.73,117.5,6556915092.0
2005-01-14,41825400.0,117.97,118.24,118.53,117.76,SPY,,,,,1,1.0,41825400.0,117.97,118.24,118.53,117.76,4945435296.0
2005-01-18,57175000.0,118.05,119.47,119.62,117.95,SPY,,,,,1,1.0,57175000.0,118.05,119.47,119.62,117.95,6830697250.0
2005-01-19,54705900.0,119.43,118.22,119.52,118.21,SPY,,,,,1,1.0,54705900.0,119.43,118.22,119.52,118.21,6467331498.0
2005-01-20,71534400.0,117.89,117.5,118.2,117.29,SPY,,,,,1,1.0,71534400.0,117.89,117.5,118.2,117.29,8405292000.0
2005-01-21,63045600.0,117.79,116.78,118.0,116.65,SPY,,,,,1,1.0,63045600.0,117.79,116.78,118.0,116.65,7362465168.0
2005-01-24,58480300.0,117.09,116.55,117.34,116.37,SPY,,,,,1,1.0,58480300.0,117.09,116.55,117.34,116.37,6815878965.0
2005-01-25,68278500.0,116.91,116.88,117.47,116.72,SPY,,,,,1,1.0,68278500.0,116.91,116.88,117.47,116.72,7980391080.0
2005-01-26,56276000.0,117.32,117.23,117.6,117.04,SPY,,,,,1,1.0,56276000.0,117.32,117.23,117.6,117.04,6597235480.0
2005-01-27,55853800.0,117.19,117.43,117.75,116.98,SPY,,,,,1,1.0,55853800.0,117.19,117.43,117.75,116.98,6558911734.0
2005-01-28,59737800.0,117.49,117.43,117.55,116.61,SPY,,,,,1,1.0,59737800.0,117.49,117.43,117.55,116.61,7015009854.0
2005-01-31,54083500.0,117.97,118.16,118.25,117.71,SPY,,,,,1,1.0,54083500.0,117.97,118.16,118.25,117.71,6390506360.0
2005-02-01,51786300.0,118.25,118.91,119.08,118.1,SPY,,,,,1,1.0,51786300.0,118.25,118.91,119.08,118.1,6157908933.0
2005-02-02,52522700.0,119.06,119.27,119.59,118.9,SPY,,,,,1,1.0,52522700.0,119.06,119.27,119.59,118.9,6264382429.0
2005-02-03,48729400.0,119.06,119.11,119.16,118.57,SPY,,,,,1,1.0,48729400.0,119.06,119.11,119.16,118.57,5804158834.0
2005-02-04,49766600.0,119.0,120.23,120.43,118.98,SPY,,,,,1,1.0,49766600.0,119.0,120.23,120.43,118.98,5983438318.0
2005-02-07,45852700.0,120.22,120.07,120.52,119.96,SPY,,,,,1,1.0,45852700.0,120.22,120.07,120.52,119.96,5505533689.0
2005-02-08,38950300.0,120.17,120.21,120.65,120.07,SPY,,,,,1,1.0,38950300.0,120.17,120.21,120.65,120.07,4682215563.0
2005-02-09,53919200.0,120.42,119.31,120.49,119.25,SPY,,,,,1,1.0,53919200.0,120.42,119.31,120.49,119.25,6433099752.0
2005-02-10,45812000.0,119.66,119.74,120.02,119.26,SPY,,,,,1,1.0,45812000.0,119.66,119.74,120.02,119.26,5485528880.0
2005-02-11,53019100.0,119.71,120.77,121.04,119.46,SPY,,,,,1,1.0,53019100.0,119.71,120.77,121.04,119.46,6403116707.0
2005-02-14,32514400.0,120.69,120.68,120.86,120.48,SPY,,,,,1,1.0,32514400.0,120.69,120.68,120.86,120.48,3923837792.0
2005-02-15,44250100.0,120.8,121.13,121.43,120.68,SPY,,,,,1,1.0,44250100.0,120.8,121.13,121.43,120.68,5360014613.0
2005-02-16,51476000.0,120.93,121.21,121.46,120.67,SPY,,,,,1,1.0,51476000.0,120.93,121.21,121.46,120.67,6239405960.0
