date,volume,open,close,high,low,symbol,divPaymentDate,divRecordDate,dividend,divDeclaredDate,ratio_adj,split_factor,volume_adj,open_adj,close_adj,high_adj,low_adj,dollar_volume
2005-01-03,1168600.0,88.18,88.74,88.84,88.16,TLT,,,,,1,1.0,1168600.0,88.18,88.74,88.84,88.16,103701564.0
2005-01-04,1935400.0,88.72,87.81,88.75,87.81,TLT,,,,,1,1.0,1935400.0,88.72,87.81,88.75,87.81,169947474.0
2005-01-05,1094100.0,87.99,88.28,88.55,87.94,TLT,,,,,1,1.0,1094100.0,87.99,88.28,88.55,87.94,96587148.0
2005-01-06,1057400.0,88.29,88.34,88.54,88.22,TLT,,,,,1,1.0,1057400.0,88.29,88.34,88.54,88.22,93410716.0
2005-01-07,738700.0,88.76,88.54,88.87,88.35,TLT,,,,,1,1.0,738700.0,88.76,88.54,88.87,88.35,65404498.00000001
2005-01-10,379400.0,88.64,88.68,88.72,88.47,TLT,,,,,1,1.0,379400.0,88.64,88.68,88.72,88.47,33645192.0
2005-01-11,845100.0,88.9,89.2,89.28,88.74,TLT,,,,,1,1.0,845100.0,88.9,89.2,89.28,88.74,75382920.0
2005-01-12,669500.0,88.87,89.32,89.44,88.8,TLT,,,,,1,1.0,669500.0,88.87,89.32,89.44,88.8,59799739.99999999
2005-01-13,1876700.0,89.75,90.18,90.18,89.73,TLT,,,,,1,1.0,1876700.0,89.75,90.18,90.18,89.73,169240806.0
2005-01-14,1043800.0,89.9,90.17,90.4,89.81,TLT,,,,,1,1.0,1043800.0,89.9,90.17,90.4,89.81,94119446.0
2005-01-18,1251600.0,89.8,90.47,90.49,89.73,TLT,,,,,1,1.0,1251600.0,89.8,90.47,90.49,89.73,113232252.0
2005-01-19,655800.0,90.8,90.73,90.84,90.27,TLT,,,,,1,1.0,655800.0,90.8,90.73,90.84,90.27,59500734.0
2005-01-20,1064200.0,90.42,90.91,91.02,90.35,TLT,,,,,1,1.0,1064200.0,90.42,90.91,91.02,90.35,96746422.0
2005-01-21,606300.0,90.6,91.01,91.05,90.52,TLT,,,,,1,1.0,606300.0,90.6,91.01,91.05,90.52,55179363.0
2005-01-24,545700.0,91.09,91.4,91.5,91.0,TLT,,,,,1,1.0,545700.0,91.09,91.4,91.5,91.0,49876980.0
2005-01-25,1837800.0,91.36,90.54,91.4,90.51,TLT,,,,,1,1.0,1837800.0,91.36,90.54,91.4,90.51,166394412.0
2005-01-26,709500.0,90.85,90.71,90.92,90.63,TLT,,,,,1,1.0,709500.0,90.85,90.71,90.92,90.63,64358744.99999999
2005-01-27,463900.0,90.52,90.54,90.7,90.34,TLT,,,,,1,1.0,463900.0,90.52,90.54,90.7,90.34,42001506.0
2005-01-28,1125000.0,91.22,91.45,91.6,91.17,TLT,,,,,1,1.0,1125000.0,91.22,91.45,91.6,91.17,102881250.0
2005-01-31,1313900.0,91.33,91.71,91.75,91.29,TLT,,,,,1,1.0,1313900.0,91.33,91.71,91.75,91.29,120497768.99999999
2005-02-01,948200.0,91.44,91.22,91.5,91.05,TLT,,,,,1,1.0,948200.0,91.44,91.22,91.5,91.05,86494804.0
2005-02-02,760300.0,91.2,91.43,91.46,91.09,TLT,,,,,1,1.0,760300.0,91.2,91.43,91.46,91.09,69514229.0
2005-02-03,506000.0,91.06,91.35,91.44,91.06,TLT,,,,,1,1.0,506000.0,91.06,91.35,91.44,91.06,46223100.0
2005-02-04,3481900.0,92.47,92.65,92.94,92.46,TLT,,,,,1,1.0,3481900.0,92.47,92.65,92.94,92.46,322598035.0
2005-02-07,1064600.0,92.74,93.34,93.42,92.7,TLT,,,,,1,1.0,1064600.0,92.74,93.34,93.42,92.7,99369764.0
2005-02-08,1383700.0,93.37,93.87,94.12,93.33,TLT,,,,,1,1.0,1383700.0,93.37,93.87,94.12,93.33,129887919.0
2005-02-09,2125800.0,93.44,94.12,94.24,93.38,TLT,,,,,1,1.0,2125800.0,93.44,94.12,94.24,93.38,200080296.0
2005-02-10,1239900.0,93.49,92.85,93.68,92.75,TLT,,,,,1,1.0,1239900.0,93.49,92.85,93.68,92.75,115124715.0
2005-02-11,1275100.0,92.46,92.79,92.98,92.4,TLT,,,,,1,1.0,1275100.0,92.46,92.79,92.98,92.4,118316529.00000001
2005-02-14,273700.0,92.9,93.08,93.21,92.73,TLT,,,,,1,1.0,273700.0,92.9,93.08,93.21,92.73,25475996.0
2005-02-15,900100.0,92.6,92.61,92.86,92.57,TLT,,,,,1,1.0,900100.0,92.6,92.61,92.86,92.57,83358261.0
2005-02-16,1089700.0,92.51,92.26,92.57,91.8,TLT,,,,,1,1.0,1089700.0,92.51,92.26,92.57,91.8,100535722.0
2005-02-17,1145900.0,91.76,91.68,92.14,91.6,TLT,,,,,1,1.0,1145900.0,91.76,91.68,92.14,91.6,105056112.00000001
2005-02-18,2656300.0,90.55,90.86,90.95,90.46,TLT,,,,,1,1.0,2656300.0,90.55,90.86,90.95,90.46,241351418.0
2005-02-22,904500.0,90.63,90.46,90.75,90.4,TLT,,,,,1,1.0,904500.0,90.63,90.46,90.75,90.4,81821070.0
2005-02-23,1115000.0,91.14,90.76,91.17,90.43,TLT,,,,,1,1.0,1115000.0,91.14,90.76,91.17,90.43,101197400.0
